Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
1,,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,,CCAFS,0,"Success
",F9 v1.0B0003.1,18:45,4 June 2010,18:45
2,,Dragon,,LEO,NASA,,CCAFS,0,Success,F9 v1.0B0004.1,15:43,8 December 2010,15:43
3,,Dragon,,LEO,NASA,,CCAFS,525 kg,Success,F9 v1.0B0005.1,07:44,22 May 2012,07:44
4,,SpaceX CRS-1,,LEO,NASA,,CCAFS,"4,700 kg","Success
",F9 v1.0B0006.1,00:35,8 October 2012,00:35
5,,SpaceX CRS-2,,LEO,NASA,,CCAFS,"4,877 kg","Success
",F9 v1.0B0007.1,15:10,1 March 2013,15:10
6,,CASSIOPE,,Polar orbit,MDA,,VAFB,500 kg,Success,F9 v1.1B1003,16:00,29 September 2013,16:00
7,,SES-8,,GTO,SES,,CCAFS,"3,170 kg",Success,F9 v1.1,22:41,3 December 2013,22:41
8,,Thaicom 6,,GTO,Thaicom,,CCAFS,"3,325 kg",Success,F9 v1.1,22:06,6 January 2014,22:06
9,,SpaceX CRS-3,,LEO,NASA,,Cape Canaveral,"2,296 kg","Success
",F9 v1.1,19:25,18 April 2014,19:25
10,,Orbcomm-OG2,,LEO,Orbcomm,,Cape Canaveral,"1,316 kg",Success,F9 v1.1,15:15,14 July 2014,15:15
11,,AsiaSat 8,,GTO,AsiaSat,,Cape Canaveral,"4,535 kg",Success,F9 v1.1,08:00,5 August 2014,08:00
12,,AsiaSat 6,,GTO,AsiaSat,,Cape Canaveral,"4,428 kg",Success,F9 v1.1,05:00,7 September 2014,05:00
13,,SpaceX CRS-4,,LEO,NASA,,Cape Canaveral,"2,216 kg",Success,F9 v1.1,05:52,21 September 2014,05:52
14,,SpaceX CRS-5,,LEO,NASA,,Cape Canaveral,"2,395 kg",Success,F9 v1.1,09:47,10 January 2015,09:47
15,,DSCOVR,,HEO,USAF,,Cape Canaveral,570 kg,"Success
",F9 v1.1,23:03,11 February 2015,23:03
16,,ABS-3A,,GTO,ABS,,Cape Canaveral,"4,159 kg","Success
",F9 v1.1,03:50,2 March 2015,03:50
17,,SpaceX CRS-6,,LEO,NASA,,Cape Canaveral,"1,898 kg","Success
",F9 v1.1,20:10,14 April 2015,20:10
18,,TürkmenÄlem 52°E / MonacoSAT,,GTO,,,Cape Canaveral,"4,707 kg","Success
",F9 v1.1,23:03,27 April 2015,23:03
19,,SpaceX CRS-7,,LEO,NASA,,Cape Canaveral,"1,952 kg",Failure,F9 v1.1,14:21,28 June 2015,14:21
20,,Orbcomm-OG2,,LEO,Orbcomm,,Cape Canaveral,"2,034 kg","Success
",F9 FT,01:29,22 December 2015,01:29
